,codigo,nombre,zona,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09
0,101,Plaza de Castilla,A,982844.0,997328.0,1074249.0,1028264.0,1035880.0,1001026.0,905925.0,607344.0,982711.0,1111951.0,1060111.0,1007934.0,977028,1060458,1024414,1093052,1051678,1044271,899928,668088,1009110,1045932,1063424,994698,1029158,1056067,1181713,1004156,1104122,1115663,951366,712715,1070533,1176918,1141511,1026164,1123321,1120358,1147774,1179201,1144453,1142164,1032044,735194,1095426,1274350,1195137,1090085,1188809.0,1175766.0,1265008,1138972,1187173,1188184,1114316,766984,1173850,1357483,1267597,1119132,1227029,1250746,563501,111680,215399,483380,608456,454893,636003,671963,661985,663192,544501,663009,772508,733802,773278,817904,750879,575140,889363,1000694,992145,848696,804884,920263,1099428,948967,1035750,1027000,878294,673916,1093369,1171941,1178731,1049137,1129554.0,1216394.0,1387303.0,1203115.0,1306553.0,1308380.0,1102301.0,820036.0,1265550.0,1424936.0,1422584.0,1260437.0,1307378.0,1375250.0,1299031.0,1432426.0,1352632.0,1299320.0,1193890.0,994285.0,1360534.0,1533764.0,1417404.0,1278273.0,1307735,1331229,1412782,1252087,1325641,1317338,1206549,877266,1299144
1,102,Valdeacederas,A,200599.0,204825.0,219247.0,210486.0,214752.0,207002.0,188927.0,132405.0,202454.0,231117.0,223057.0,217814.0,208010,224458,213211,224419,219605,207737,12744,0,78706,161508,189935,203906,213356,217111,241675,209286,236013,235449,199894,149299,221085,243827,241341,225665,238797,237988,246593,251229,255575,255468,204188,129361,187294,233357,241787,229695,241157.0,234990.0,252444,231999,241775,236145,214656,155829,229093,269730,260168,241936,247725,247707,112118,20662,45604,102154,127803,96168,125047,137158,135408,138303,135910,135103,156140,152672,162384,167180,150257,122102,177698,196415,201096,181894,169804,187257,223016,193500,211097,205595,178181,137373,203404,222027,225257,215410,223122.0,223395.0,245999.0,220152.0,243853.0,239021.0,195130.0,151819.0,215437.0,254485.0,245356.0,238554.0,244734.0,252450.0,246934.0,262157.0,260069.0,244763.0,217057.0,167995.0,241860.0,283055.0,267483.0,253025.0,254567,251967,275281,246902,263574,255278,227023,172968,254624
2,103,Tetuán,A,246994.0,249082.0,265117.0,254467.0,265918.0,256255.0,235950.0,166286.0,248698.0,286048.0,276058.0,266728.0,260510,278433,272187,287168,276641,261903,16136,0,102691,210415,247545,265860,268992,272830,302611,267222,295374,295645,256329,194691,284031,317416,310820,294937,308282,305067,316884,321021,316826,274919,236906,192497,291387,329791,315603,302474,313938.0,306805.0,328675,301413,310952,299132,273122,197907,291262,342544,329942,309132,315049,314621,138837,24421,56770,126963,154683,119320,160276,173058,172160,178672,171387,172558,202952,196172,206785,212930,199204,154320,228762,259468,264075,244809,225130,245928,288994,258195,276023,267065,235058,183252,272781,298247,294651,283843,290262.0,294216.0,328687.0,294211.0,320425.0,314052.0,262444.0,199005.0,281215.0,326583.0,320750.0,305786.0,312374.0,323458.0,320807.0,344469.0,338658.0,322246.0,288831.0,219270.0,314778.0,359873.0,342578.0,325551.0,323903,321676,352715,320057,339147,331125,291227,222999,324467
3,104,Estrecho,A,345734.0,343588.0,366077.0,349846.0,362671.0,348447.0,315850.0,220400.0,339915.0,401433.0,388476.0,377630.0,363010,387238,377315,397951,382736,365180,21813,0,128871,263354,318961,349410,361714,373394,415453,362969,403414,402122,345254,263446,387938,430491,427485,405455,426795,428272,438848,453194,454754,439333,404909,279938,397407,470253,453082,425942,440145.0,431795.0,468014,431439,450008,428991,390020,279382,415213,486271,468263,435206,444714,444345,199226,35386,75261,175823,222187,176421,230323,248745,249962,254736,238707,247863,285423,275308,295902,303873,271778,211556,317355,358593,364770,329547,307066,337408,396063,354255,382478,368440,317488,247220,380437,416229,417706,402126,412547.0,417930.0,464020.0,410553.0,449193.0,436191.0,343407.0,258856.0,387259.0,455615.0,454156.0,426279.0,433787.0,451066.0,441052.0,473143.0,466350.0,443864.0,392382.0,289144.0,434923.0,498198.0,473900.0,449884.0,450229,451408,493899,437368,471204,463197,407434,301194,457927
4,105,Alvarado,A,144302.0,142742.0,152046.0,146291.0,153679.0,147430.0,136095.0,98371.0,143906.0,165968.0,160541.0,161672.0,154104,161075,153480,160504,158491,147434,9407,0,39995,85186,124555,150949,151749,155926,171880,154131,168814,165674,139731,107294,153726,170693,170408,169724,172216,169953,178779,180140,181478,176036,158533,113886,156767,184835,180642,178407,180102.0,176131.0,188525,173909,181023,174629,159554,117788,165558,195710,190542,186128,181959,179746,80713,12683,32277,77237,95063,77034,95066,105095,102263,111861,102133,108801,129510,126368,135872,139114,125527,101063,140154,158789,162759,154365,135955,146818,172979,156980,164424,159124,141565,114482,163682,177542,176824,178932,176883.0,176798.0,198171.0,180046.0,196250.0,189631.0,148897.0,114544.0,161620.0,190665.0,194525.0,192938.0,186233.0,191604.0,192943.0,199669.0,198581.0,192476.0,172172.0,137702.0,186727.0,212463.0,205108.0,203053.0,196198,191542,211058,188645,201768,204866,184625,148997,206295
5,106,Cuatro Caminos,A,499747.0,505680.0,538766.0,523035.0,535549.0,509991.0,459409.0,323302.0,505167.0,592175.0,564492.0,558641.0,516267,558594,540573,576903,556973,532782,659477,532285,688259,686900,649370,591743,565447,587645,641941,553255,621203,595596,495190,371413,605040,650433,637512,597220,602636,605678,617464,626230,625571,596299,510990,370798,566602,674510,647179,612131,614662.0,610624.0,652919,579823,611921,606863,537288,387610,622096,707372,675057,622629,632154,658447,287191,48870,105016,235186,293269,229195,306287,339132,338245,348498,300434,319581,361627,347598,371715,378126,333085,255291,409469,477312,480817,430329,390958,447925,524503,459529,500127,480826,403014,294024,496689,566426,565853,549712,543996.0,569029.0,633635.0,556123.0,603783.0,587908.0,497171.0,374514.0,570161.0,650398.0,644316.0,612660.0,590460.0,641273.0,620393.0,668327.0,645883.0,608284.0,533395.0,398416.0,615949.0,712974.0,679792.0,642384.0,623071,641694,686827,605898,646829,593657,513308,379082,596949
6,107,Ríos Rosas,A,181220.0,183650.0,184852.0,171946.0,172740.0,163705.0,142613.0,83199.0,168152.0,200380.0,191056.0,175408.0,166676,192367,178179,191956,181942,168946,9343,0,0,0,96371,154047,160658,174382,192909,157246,181439,181230,142523,92579,176807,206177,205122,176639,193587,203472,207451,211654,207395,199232,167459,97586,186100,230653,217684,189302,210358.0,221840.0,234090,208880,213342,205646,175863,107966,203264,251069,236404,198894,216997,219657,91526,11435,22688,56892,74287,51353,84481,97746,98098,94736,89486,98780,112993,110954,115404,119727,104406,72070,142403,168793,178356,141154,131432,158671,196034,158813,170698,162045,127051,88926,175309,195371,196433,180279,189798.0,202008.0,220038.0,175988.0,198472.0,187218.0,123112.0,86268.0,162966.0,209467.0,210472.0,179782.0,194940.0,212881.0,195740.0,214823.0,198747.0,186494.0,154412.0,99753.0,197377.0,241185.0,222945.0,191881.0,207035,216368,232662,190132,210403,203959,168169,106280,213758
7,108,Iglesia,A,262562.0,262750.0,277164.0,263736.0,268022.0,255951.0,219962.0,131630.0,241502.0,289677.0,278055.0,264225.0,263733,288557,274748,299799,290060,268695,14037,0,0,0,152428,244377,257664,268372,299835,252204,293414,287908,245743,158761,264663,308141,307725,276248,305476,305508,307339,317930,316461,307138,255096,146943,269204,337243,326527,288281,326652.0,317751.0,335662,305814,320881,306612,261258,163583,293701,368516,358478,309315,329133,327479,139322,23559,47039,106790,126983,88288,139793,156312,154293,154479,140853,157007,177514,174939,180086,188295,157853,109822,203594,237049,247897,210333,198704,227477,277065,231579,249271,243218,191523,133571,247953,277853,284877,263366,275284.0,285783.0,311983.0,265240.0,300000.0,281386.0,181559.0,126571.0,222997.0,295138.0,301819.0,272478.0,296750.0,311102.0,289469.0,318900.0,302642.0,283767.0,238589.0,160279.0,282303.0,335317.0,317454.0,283843.0,299626,301106,322546,280153,297219,285164,235917,154888,285263
8,109,Bilbao,A,402139.0,396524.0,414743.0,398691.0,397870.0,380119.0,326481.0,211405.0,362172.0,425208.0,414977.0,400958.0,394593,411729,394510,421607,399141,384980,179470,112649,197652,224544,325820,390179,400304,411784,441252,371099,406536,398209,341303,232826,378978,431315,427877,401232,420681,421263,431081,429457,414333,396562,343261,222009,367000,443973,434891,406452,444973.0,440754.0,464917,420720,426611,390607,297840,131379,212893,387773,390738,359774,326266,290821,133944,17915,42846,114311,146085,104020,160648,179785,177088,185520,171128,185759,213524,208331,217665,226805,198728,142792,253173,298933,307431,273207,254924,289190,345479,300822,314031,309313,251206,179703,313313,358530,361090,351760,366561.0,368589.0,403275.0,346951.0,376964.0,356196.0,251715.0,173715.0,295575.0,387423.0,393344.0,378518.0,385357.0,407941.0,388915.0,410356.0,389697.0,374576.0,324563.0,225340.0,372015.0,434705.0,420805.0,382180.0,392132,400307,431210,371326,390164,373843,326729,228386,386134
9,110,Tribunal,A,360630.0,360511.0,379415.0,364519.0,377891.0,360526.0,318371.0,215167.0,355317.0,433955.0,411575.0,405432.0,377983,394328,387908,415865,396495,374659,232037,165426,277745,306526,380105,430955,410638,398207,429199,398798,428607,424166,387738,278966,414262,482819,469226,461045,458811,456895,477065,486073,468592,444864,394386,278759,469312,556375,538403,537426,543799.0,531285.0,571394,508995,539244,522044,457972,332959,536697,596289,577949,544199,564902,577964,216292,22979,53742,149346,197376,148885,218122,251784,236888,266812,228838,253010,295554,285115,301331,315617,266207,193464,329302,390247,386254,342304,319649,352332,403718,361021,370587,363140,318760,230837,388898,451839,447736,442318,449108.0,461593.0,507464.0,450959.0,465553.0,443344.0,317483.0,228905.0,378645.0,482806.0,494120.0,485862.0,471826.0,487510.0,488299.0,503775.0,486288.0,452115.0,400752.0,292380.0,463495.0,550828.0,535822.0,512246.0,500798,490138,536752,471243,482324,448096,385874,288441,462819
