Column1;codigo;nombre;CP;poblacion;direccion;zona;correspondencias;latitud;longitud
0;722;ARROYOFRESNO;28035;Madrid;Calle de Federica Montseny N2 ;A;7;40.49089827;-3.7260354
1;9999;RIVAS URBANIZACIONES;28529;Rivas-Vaciamadrid;Plaza de Galicia N5 ;B1;9;40.3667715;-3.54727581
2;211;NOVICIADO;28015;Madrid;Calle de San Bernardo N49 ;A;2. 3. 10;40.42484223;-3.70741904
3;1013;LAGO;28011;Madrid;Ronda del Lago N3 ;A;10;40.41641411;-3.73563106
4;1014;BATAN;28011;Madrid;Paseo de la Venta N1 ;A;10;40.40786021;-3.75310994
5;112;SOL;28013;Madrid;Plaza de la Puerta del Sol N6 ;A;1. 2. 3;40.41687606;-3.70326165
8;618;NUEVOS MINISTERIOS;28046;Madrid;Calle de Raimundo Fernández Villaverde N67 ;A;6. 8. 10;40.44662122;-3.69240646
9;915;ESTRELLA;28030;Madrid;Calle del Camino de los Vinateros N1 ;A;9;40.41147222;-3.66178527
11;409;LISTA;28006;Madrid;Calle del Conde de Peñalver N45 ;A;4;40.42916852;-3.67540982
12;9999;LA POVEDA;28500;Arganda del Rey;Parcela   9017 Polígono 1 SNS/N ;B3;9;40.31901573;-3.47744735
13;528;EMPALME;28024;Madrid;Calle de Tembleque N105 ;A;5;40.39057256;-3.76534788
14;422;MANOTERAS;28033;Madrid;Calle de Bacares N24 ;A;4;40.47687423;-3.66289548
15;353;SAN FERMIN-ORCASUR;28041;Madrid;Avda de Andalucía N9 ;A;3;40.36999093;-3.69417641
16;127;CONGOSTO;28031;Madrid;Calle del Congosto N48 ;A;1;40.37238237;-3.61884135
17;354;CIUDAD DE LOS ANGELES;28041;Madrid;Avda de Andalucía N38 ;A;3;40.35958543;-3.69362644
18;356;SAN CRISTOBAL;28021;Madrid;Avda de Andalucía N81 ;A;3;40.34154194;-3.6931803
19;1021;PUERTA DEL SUR;28924;Alcorcón;Avda de Leganés N52 ;B1;10. 12;40.34543087;-3.81248918
20;755;COSLADA CENTRAL;28821;Coslada;Calle del Doctor Fleming N41 ;B1;7;40.42373621;-3.56119235
21;704;GARCIA NOBLEJAS;28017;Madrid;Calle de Luis del Campo N1 ;A;7;40.42842319;-3.63329947
22;707;BARRIO DE LA CONCEPCION;28027;Madrid;Calle de Martínez Villergas N1 ;A;7;40.4390994;-3.652004
23;114;ANTON MARTIN;28012;Madrid;Calle de Atocha N50 ;A;1;40.41246357;-3.69937296
24;711;GREGORIO MARAÑON;28003;Madrid;Calle de José Abascal N65 ;A;7. 10;40.438251;-3.69148286
25;712;ALONSO CANO;28010;Madrid;Calle de José Abascal N18 ;A;7;40.43837538;-3.69924564
26;716;FRANCOS RODRIGUEZ;28039;Madrid;Avda de Pablo Iglesias N87 ;A;7;40.45648182;-3.71238667
27;718;ANTONIO MACHADO;28039;Madrid;Calle de Valderrodrigo N55 ;A;7;40.47021772;-3.71769486
28;9999;ARGANDA DEL REY;28500;Arganda del Rey;Paseo de la Estación N37 ;B3;9;40.30366928;-3.44751896
29;719;PEÑAGRANDE;28029;Madrid;Cmno de Ganapanes N35 ;A;7;40.47592352;-3.71582416
30;901;HERRERA ORIA;28034;Madrid;Calle de Valencia de Don Juan N1 ;A;9;40.48466278;-3.70751021
31;902;BARRIO DEL PILAR;28029;Madrid;Calle de Ginzo de Limia N22 ;A;9;40.47688907;-3.7031645
32;1019;CUATRO VIENTOS;28024;Madrid;Col   Militar de Cuatro Vientos N6B;A;10;40.37770689;-3.7915152
33;908;CONCHA ESPINA;28002;Madrid;Calle del Príncipe de Vergara N210 ;A;9;40.45144843;-3.67738012
34;903;VENTILLA;28029;Madrid;Avda de Asturias N39 ;A;9;40.46943538;-3.69588333
35;905;DUQUE DE PASTRANA;28036;Madrid;Calle de Mateo Inurria N41 ;A;9;40.46762585;-3.67917055
36;906;PIO XII;28016;Madrid;Avda de Pío XII N27 ;A;9;40.46300276;-3.67579015
37;310;ARGÜELLES;28015;Madrid;Calle de Alberto Aguilera N72 ;A;3. 4. 6;40.43066093;-3.71596265
38;418;MAR DE CRISTAL;28033;Madrid;Gta de Mar de Cristal N1 ;A;4. 8;40.46938379;-3.63832022
