,fecha,dia,mes,año,dia_semana,metro,EMT,conc_carretera,cercanias
0,2023-01-01,1,1,2023,7,685684,319488,155714,174991
1,2023-01-02,2,1,2023,1,1581661,1024836,588003,446467
2,2023-01-03,3,1,2023,2,1781186,1151845,662751,510268
3,2023-01-04,4,1,2023,3,1846531,1160892,681347,517539
4,2023-01-05,5,1,2023,4,1842966,1087828,615698,487856
5,2023-01-06,6,1,2023,5,894382,459749,236253,229730
6,2023-01-07,7,1,2023,6,1257660,714550,377933,309329
7,2023-01-08,8,1,2023,7,977910,491083,254102,235473
8,2023-01-09,9,1,2023,1,1941128,1468624,856672,561589
9,2023-01-10,10,1,2023,2,2018250,1531306,884948,583787
10,2023-01-11,11,1,2023,3,2062881,1422008,880756,591617
11,2023-01-12,12,1,2023,4,2080654,1435879,890470,592716
12,2023-01-13,13,1,2023,5,2162687,1439282,912863,600287
13,2023-01-14,14,1,2023,6,1428270,802425,433733,358164
14,2023-01-15,15,1,2023,7,1021255,539787,274959,267823
15,2023-01-16,16,1,2023,1,1992037,1357710,856534,569861
16,2023-01-17,17,1,2023,2,2064856,1391475,865470,573776
17,2023-01-18,18,1,2023,3,2120175,1399464,873932,587887
18,2023-01-19,19,1,2023,4,2155218,1407320,880344,585239
19,2023-01-20,20,1,2023,5,2226792,1433422,910895,607817
20,2023-01-21,21,1,2023,6,1616122,810600,448679,392648
21,2023-01-22,22,1,2023,7,1115808,548425,293035,280916
22,2023-01-23,23,1,2023,1,2042669,1389039,879160,579187
23,2023-01-24,24,1,2023,2,2123716,1407708,889417,594909
24,2023-01-25,25,1,2023,3,2152328,1443805,908456,607345
25,2023-01-26,26,1,2023,4,2214718,1444279,916545,607123
26,2023-01-27,27,1,2023,5,2180472,1388149,895680,585591
27,2023-01-28,28,1,2023,6,1477965,774980,437205,362441
28,2023-01-29,29,1,2023,7,1124644,546525,290671,283495
29,2023-01-30,30,1,2023,1,2069172,1399150,899509,602912
30,2023-01-31,31,1,2023,2,2154530,1453028,928286,623562
31,2023-02-01,1,2,2023,3,2227992,1486916,946360,644511
32,2023-02-02,2,2,2023,4,2252162,1496917,950210,641053
33,2023-02-03,3,2,2023,5,2288146,1476746,960282,632294
34,2023-02-04,4,2,2023,6,1542933,828362,466098,375013
35,2023-02-05,5,2,2023,7,1143835,583510,316581,292951
36,2023-02-06,6,2,2023,1,2124266,1446101,928649,603724
37,2023-02-07,7,2,2023,2,2210349,1475971,949333,615081
38,2023-02-08,8,2,2023,3,2241168,1494264,957604,614916
39,2023-02-09,9,2,2023,4,2247684,1512276,967393,613711
40,2023-02-10,10,2,2023,5,2319375,1495020,979269,612034
